Country,Lat,Long,2018,2010,2005,2000
Papua New Guinea,-6.315,143.9555,45000,38000,38000,20000
Paraguay,-23.4425,-58.4438,21000,20000,19000,14000
Peru,-9.19,-75.0152,79000,65000,65000,71000
Philippines,13,122,77000,15000,3700,1000
Poland,51.9194,19.1451,0,0,0,0
Portugal,39.3999,-8.2245,41000,40000,37000,32000
Qatar,25.3548,51.1839,0,0,0,0
Republic of Korea,36,128,0,0,0,0
Republic of Moldova,47,29,17000,16000,12000,10000
Republic of North Macedonia,41.6086,21.7453,500,200,100,100
Romania,45.9432,24.9668,18000,14000,11000,7500
Russian Federation,60,90,0,0,0,0
Rwanda,-1.9403,29.8739,220000,220000,220000,240000
Saudi Arabia,24,45,0,0,0,0
Senegal,14.4974,-14.4524,42000,44000,42000,33000
Serbia,44.0165,21.0059,3000,1800,1100,1000
Sierra Leone,8.460555,-11.779889,70000,58000,51000,40000
Singapore,1.287953,103.51,7900,6500,4100,2900
Slovakia,48.669,19.699,1200,500,500,200
Slovenia,46.1512,14.9955,0,0,0,0
Somalia,5.1521,46.1996,11000,17000,20000,16000
South Africa,-30.5595,22.9375,7700000,6100000,5000000,3300000
South Sudan,4.859363,31.571251,190000,140000,120000,90000
Spain,40,-4,150000,140000,120000,92000
Sri Lanka,6.927079,79.861244,3500,4000,3600,2200
Sudan,12.8628,30.2176,59000,43000,29000,15000
Suriname,3.9193,-56.0278,5600,4600,4000,3100
Sweden,63,16,0,0,0,0
Switzerland,46.8182,8.2275,0,0,0,0
Syrian Arab Republic,33.510414,36.278336,660,570,500,500
Tajikistan,38.861034,71.276093,13000,9200,5200,1400
Thailand,15,100,480000,580000,630000,740000
Timor-Leste,-8.874217,125.727539,0,0,0,0
Togo,6.136629,1.222186,110000,100000,100000,94000
Trinidad and Tobago,10.6918,-61.2225,0,0,0,0
Tunisia,34,9,2800,1400,640,500
Turkey,38.9637,35.2433,0,0,0,0
Turkmenistan,37.862499,58.238056,0,0,0,0
Uganda,1,32,1400000,1200000,1100000,1000000
Ukraine,48.3794,31.1656,240000,230000,230000,170000
United Arab Emirates,24,54,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,32.3078,-64.7505,0,0,0,0
United Republic of Tanzania,-6.369,34.8888,1600000,1300000,1200000,1100000
United States of America,38,97,0,990000,0,0
Uruguay,-32.5228,-55.7658,14000,9600,7600,6000
Uzbekistan,41.3775,64.5853,52000,30000,21000,14000
Venezuela (Bolivarian Republic of),6.4238,-66.5897,120000,0,0,0
Viet Nam,16,108,230000,220 000,180000,120000
Yemen,15.552727,48.516388,11000,5100,2400,1100
Zambia,-15.4167,28.2833,1200000,1000000,920000,890000
Zimbabwe,-20,30,1300000,1200000,1400000,1600000
